indent_level,occupation,total_employed_thousands,pct_women,pct_white,pct_black_or_african_american,pct_asian,pct_hispanic_or_latino
2,Occupational therapy assistants and aides,35,-,-,-,-,-
2,Physical therapist assistants and aides,130,60.2,81.8,9.9,2.3,9.5
2,Massage therapists,183,76.5,72.6,6.7,16.5,11.7
2,Dental assistants,287,91.8,78.5,8.2,8.2,29.8
2,Medical assistants,680,90.8,72.7,17.5,5.3,27.4
2,Medical transcriptionists,41,-,-,-,-,-
2,Pharmacy aides,33,-,-,-,-,-
2,Veterinary assistants and laboratory animal caretakers,63,81.9,93.2,4.4,0.0,17.6
2,Phlebotomists,144,88.2,57.1,32.2,4.7,19.6
2,Other healthcare support workers,205,70.4,58.6,28.3,7.8,17.6
1,Protective service occupations,"3,344",23.3,70.2,20.7,3.4,19.0
2,First-line supervisors of correctional officers,50,21.5,69.0,26.9,2.0,7.7
2,First-line supervisors of police and detectives,107,16.6,87.2,7.8,0.0,19.7
2,First-line supervisors of firefighting and prevention workers,55,1.3,94.6,4.9,0.0,8.9
2,First-line supervisors of security workers,85,28.0,72.8,11.8,8.1,18.7
2,"First-line supervisors of protective service workers, all other",2,-,-,-,-,-
2,Firefighters,352,5.1,85.9,8.2,0.5,11.3
2,Fire inspectors,30,-,-,-,-,-
2,Bailiffs,21,-,-,-,-,-
2,Correctional officers and jailers,296,25.8,67.7,28.2,1.7,15.6
2,Detectives and criminal investigators,155,31.6,79.9,12.8,3.6,15.3
2,Fish and game wardens,11,-,-,-,-,-
2,Parking enforcement workers,12,-,-,-,-,-
2,Police officers,705,16.4,78.2,13.1,3.6,24.2
2,Animal control workers,7,-,-,-,-,-
2,Private detectives and investigators,154,44.5,71.1,21.8,4.7,18.2
2,Security guards and gambling surveillance officers,962,22.9,51.8,36.0,4.7,21.3
2,Crossing guards and flaggers,55,37.4,76.9,16.0,2.8,19.0
2,Transportation security screeners,52,32.8,72.7,9.5,11.3,31.0
2,School bus monitors,38,-,-,-,-,-
2,Other protective service workers,194,46.4,83.0,4.9,3.1,15.4
1,Food preparation and serving related occupations,"8,292",55.7,73.3,14.9,6.4,30.1
2,Chefs and head cooks,516,26.4,58.9,18.9,15.1,26.2
2,First-line supervisors of food preparation and serving workers,527,58.2,73.5,17.8,4.3,23.1
2,Cooks,"2,099",43.7,71.4,17.3,5.6,39.2
2,Food preparation workers,930,56.8,72.5,17.3,5.7,30.6
2,Bartenders,432,57.2,85.6,7.4,3.3,19.2
2,Fast food and counter workers,959,65.7,72.9,13.9,7.3,26.9
2,Waiters and waitresses,"1,754",69.8,76.2,11.9,6.4,27.9
2,"Food servers, nonrestaurant",233,75.7,71.9,17.4,6.9,20.6
2,Dining room and cafeteria attendants and bartender helpers,256,44.9,77.2,15.0,4.7,34.2
2,Dishwashers,245,23.0,71.6,15.3,4.9,35.0
2,"Hosts and hostesses, restaurant, lounge, and coffee shop",326,83.7,79.0,8.5,6.3,23.8
2,"Food preparation and serving related workers, all other",15,-,-,-,-,-
1,Building and grounds cleaning and maintenance occupations,"5,708",41.3,77.4,15.0,3.0,40.7
2,First-line supervisors of housekeeping and janitorial workers,354,48.5,76.8,16.3,4.0,33.4
2,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",288,9.4,86.6,9.1,1.9,28.2
2,Janitors and building cleaners,"2,341",36.2,74.6,18.0,2.9,35.6
2,Maids and housekeeping cleaners,"1,392",86.4,74.7,15.0,5.4,49.8
2,Pest control workers,93,8.8,77.5,16.3,0.4,9.1
2,Landscaping and groundskeeping workers,"1,114",7.9,83.3,10.4,0.9,47.5
2,Tree trimmers and pruners,101,5.2,87.9,11.5,0.2,53.8
2,Other grounds maintenance workers,25,-,-,-,-,-
1,Personal care and service occupations,"4,057",76.8,72.7,12.3,9.8,20.6
2,Supervisors of personal care and service workers,48,-,-,-,-,-
2,Animal trainers,55,75.8,89.8,0.0,6.3,9.7
2,Animal caretakers,364,77.8,89.3,4.1,2.1,12.4
2,Gambling services workers,97,37.5,50.4,10.3,28.2,11.0
2,"Ushers, lobby attendants, and ticket takers",39,-,-,-,-,-
2,Other entertainment attendants and related workers,224,49.2,76.4,13.4,2.6,19.2
2,"Embalmers, crematory operators, and funeral attendants",13,-,-,-,-,-
2,"Morticians, undertakers, and funeral arrangers",36,-,-,-,-,-
2,Barbers,141,17.7,65.1,29.0,2.6,43.4
2,"Hairdressers, hairstylists, and cosmetologists",747,92.0,78.8,12.2,4.7,17.9
2,Manicurists and pedicurists,277,85.2,25.1,5.1,67.5,14.5
2,Skincare specialists,113,100.0,81.8,7.6,7.8,23.5
2,Other personal appearance workers,31,-,-,-,-,-
2,"Baggage porters, bellhops, and concierges",80,19.8,77.0,11.1,9.0,32.3
2,Tour and travel guides,56,43.6,95.1,1.4,0.6,8.7
2,Childcare workers,"1,106",93.2,70.8,16.8,6.4,28.3
2,Exercise trainers and group fitness instructors,281,66.1,82.8,8.6,4.1,17.9
2,Recreation workers,170,67.3,80.9,11.0,1.7,11.0
2,Residential advisors,32,-,-,-,-,-
2,"Personal care and service workers, all other",147,62.7,76.3,12.7,3.7,18.1
0,Sales and office occupations,"30,604",59.8,76.4,13.4,6.1,19.4
1,Sales and related occupations,"14,159",47.4,77.8,11.5,6.6,18.7
2,First-line supervisors of retail sales workers,"2,977",43.9,78.1,10.5,7.3,16.4
2,First-line supervisors of non-retail sales workers,"1,036",33.6,79.4,8.8,8.5,16.1
2,Cashiers,"2,490",68.5,70.4,17.2,7.1,26.2
2,Counter and rental clerks,73,42.7,63.9,25.5,5.4,13.4
2,Parts salespersons,129,16.2,89.9,3.0,1.8,22.5
2,Retail salespersons,"2,661",47.0,76.5,13.0,6.0,20.4
2,Advertising sales agents,138,44.0,85.4,8.6,4.4,15.2
2,Insurance sales agents,618,52.4,81.8,10.1,6.2,17.2
2,"Securities, commodities, and financial services sales agents",199,21.8,77.5,7.6,14.0,6.8
2,Travel agents,81,86.2,82.8,6.1,6.4,13.0
2,"Sales representatives of services, except advertising, insurance, financial services, and travel",695,30.2,81.9,10.2,4.9,10.8
2,"Sales representatives, wholesale and manufacturing","1,145",29.7,85.7,7.3,4.7,15.0
2,"Models, demonstrators, and product promoters",39,-,-,-,-,-
2,Real estate brokers and sales agents,"1,065",55.8,80.8,9.2,6.3,17.4
2,Sales engineers,58,15.2,82.7,0.0,9.0,11.6
2,Telemarketers,26,-,-,-,-,-
2,"Door-to-door sales workers, news and street vendors, and related workers",254,49.9,77.8,10.8,8.0,28.5
2,"Sales and related workers, all other",476,47.3,79.2,10.0,5.2,17.7
1,Office and administrative support occupations,"16,444",70.5,75.2,14.9,5.6,20.0
2,First-line supervisors of office and administrative support workers,"1,382",68.6,80.9,11.0,4.0,15.7
2,"Switchboard operators, including answering service",9,-,-,-,-,-
2,Telephone operators,26,-,-,-,-,-
2,"Communications equipment operators, all other",4,-,-,-,-,-
2,Bill and account collectors,111,67.0,76.4,16.9,1.5,21.6
2,Billing and posting clerks,403,84.5,82.2,10.0,4.6,15.6
2,"Bookkeeping, accounting, and auditing clerks","1,254",82.7,81.7,8.4,6.5,16.2
2,Gambling cage workers,22,-,-,-,-,-
2,Payroll and timekeeping clerks,166,82.2,81.9,10.5,4.5,18.6
2,Procurement clerks,43,-,-,-,-,-
2,Tellers,224,76.6,76.0,14.8,5.6,21.6
2,"Financial clerks, all other",161,41.9,73.1,9.2,13.9,19.0
2,Brokerage clerks,2,-,-,-,-,-
2,Correspondence clerks,10,-,-,-,-,-
2,"Court, municipal, and license clerks",64,82.7,86.6,9.8,1.4,17.5
2,"Credit authorizers, checkers, and clerks",30,-,-,-,-,-
2,Customer service representatives,"2,600",64.8,71.8,17.7,5.6,22.5
2,"Eligibility interviewers, government programs",90,74.3,52.7,36.0,3.9,20.9
2,File Clerks,147,73.3,73.3,15.6,7.2,19.0
2,"Hotel, motel, and resort desk clerks",99,75.8,69.8,16.2,9.6,25.0
2,"Interviewers, except eligibility and loan",172,81.8,74.2,18.0,4.2,15.7
2,"Library assistants, clerical",71,84.0,73.5,10.3,7.7,12.5
2,Loan interviewers and clerks,84,76.3,74.5,14.2,3.8,17.0
2,New accounts clerks,10,-,-,-,-,-
2,Order clerks,87,58.3,76.0,12.6,5.4,25.5
2,"Human resources assistants, except payroll and timekeeping",124,79.7,73.7,13.1,7.3,15.5
2,Receptionists and information clerks,"1,247",89.6,73.6,16.9,5.2,23.9
2,Reservation and transportation ticket agents and travel clerks,125,44.8,55.0,30.3,7.4,13.7
2,"Information and record clerks, all other",101,67.7,71.5,13.8,9.4,15.3
2,Cargo and freight agents,27,-,-,-,-,-
2,Couriers and messengers,949,28.7,68.8,21.2,4.8,27.8
2,Public safety telecommunicators,90,71.3,75.4,15.7,3.5,13.9
2,"Dispatchers, except police, fire, and ambulance",180,61.7,81.4,15.3,1.5,24.7
2,"Meter readers, utilities",17,-,-,-,-,-
2,Postal service clerks,96,57.5,45.4,41.7,12.2,10.9
2,Postal service mail carriers,371,35.8,61.3,24.9,9.1,14.7
2,"Postal service mail sorters, processors, and processing machine operators",52,63.2,44.3,43.5,11.2,16.1
2,"Production, planning, and expediting clerks",212,45.4,80.1,7.7,8.7,14.8
2,"Shipping, receiving, and inventory clerks",604,33.7,70.9,16.7,7.4,24.9
2,"Weighers, measurers, checkers, and samplers, recordkeeping",91,53.9,72.4,12.6,9.9,24.1
2,Executive secretaries and executive administrative assistants,249,93.5,79.3,12.1,4.8,16.3
2,Legal secretaries and administrative assistants,38,-,-,-,-,-
2,Medical secretaries and administrative assistants,103,98.4,71.4,20.0,5.4,12.3
2,"Secretaries and administrative assistants, except legal, medical, and executive","1,491",91.9,83.8,8.4,4.2,17.8
2,Data entry keyers,229,70.4,65.4,20.2,9.0,15.9
2,Word processors and typists,62,86.9,79.3,9.3,9.5,26.5
2,Desktop publishers,1,-,-,-,-,-
2,Insurance claims and policy processing clerks,274,79.4,69.8,26.9,1.2,17.7
2,"Mail clerks and mail machine operators, except postal service",63,48.5,63.1,22.8,8.7,13.6
2,"Office clerks, general","1,436",80.5,75.0,14.0,6.6,23.4
2,"Office machine operators, except computer",23,-,-,-,-,-
2,Proofreaders and copy markers,18,-,-,-,-,-
2,Statistical assistants,44,-,-,-,-,-
2,"Office and administrative support workers, all other",859,73.7,78.6,13.0,3.9,20.3
0,"Natural resources, construction, and maintenance occupations","14,550",6.0,85.2,7.8,2.3,35.4
1,"Farming, fishing, and forestry occupations","1,000",26.8,87.4,3.8,0.9,48.1
2,"First-line supervisors of farming, fishing, and forestry workers",50,18.1,96.6,2.5,0.0,38.3
2,Agricultural inspectors,11,-,-,-,-,-
2,Animal breeders,16,-,-,-,-,-
2,"Graders and sorters, agricultural products",58,61.0,69.6,15.7,0.5,66.0
2,Miscellaneous agricultural workers,765,27.0,88.4,3.0,0.7,52.3
